Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
86,21,5,9,5,Some Random Commen with Id 86
87,22,3,63,4,Some Random Commen with Id 87
88,22,3,137,8,Some Random Commen with Id 88
89,22,3,52,3,Some Random Commen with Id 89
90,22,3,87,9,Some Random Commen with Id 90
91,22,3,55,6,Some Random Commen with Id 91
92,22,3,180,9,Some Random Commen with Id 92
93,22,3,118,1,Some Random Commen with Id 93
94,22,3,103,0,Some Random Commen with Id 94
95,22,3,111,5,Some Random Commen with Id 95
96,23,4,31,3,Some Random Commen with Id 96
97,23,4,81,1,Some Random Commen with Id 97
98,23,4,169,9,Some Random Commen with Id 98
99,23,4,196,9,Some Random Commen with Id 99
100,23,4,15,2,Some Random Commen with Id 100
101,24,7,116,7,Some Random Commen with Id 101
102,24,7,159,6,Some Random Commen with Id 102
103,24,7,90,9,Some Random Commen with Id 103
104,24,7,120,0,Some Random Commen with Id 104
105,24,7,30,9,Some Random Commen with Id 105
106,24,7,172,8,Some Random Commen with Id 106
107,25,5,19,1,Some Random Commen with Id 107
108,25,5,82,2,Some Random Commen with Id 108
109,25,5,86,0,Some Random Commen with Id 109
110,26,9,7,4,Some Random Commen with Id 110
111,26,9,19,2,Some Random Commen with Id 111
112,26,9,36,8,Some Random Commen with Id 112
113,27,9,6,5,Some Random Commen with Id 113
114,27,9,158,5,Some Random Commen with Id 114
115,27,9,190,6,Some Random Commen with Id 115
116,27,9,53,9,Some Random Commen with Id 116
117,27,9,142,8,Some Random Commen with Id 117
118,27,9,52,1,Some Random Commen with Id 118
119,27,9,173,2,Some Random Commen with Id 119
120,27,9,131,3,Some Random Commen with Id 120
121,28,2,53,7,Some Random Commen with Id 121
122,29,6,183,7,Some Random Commen with Id 122
123,30,3,141,8,Some Random Commen with Id 123
124,30,3,63,7,Some Random Commen with Id 124
125,31,2,64,2,Some Random Commen with Id 125
126,31,2,10,5,Some Random Commen with Id 126
127,31,2,168,1,Some Random Commen with Id 127
128,31,2,65,0,Some Random Commen with Id 128
129,31,2,61,5,Some Random Commen with Id 129
130,33,5,0,4,Some Random Commen with Id 130
131,33,5,24,4,Some Random Commen with Id 131
132,33,5,178,7,Some Random Commen with Id 132
133,34,7,41,1,Some Random Commen with Id 133
134,35,6,107,7,Some Random Commen with Id 134
135,35,6,178,1,Some Random Commen with Id 135
136,35,6,107,7,Some Random Commen with Id 136
137,35,6,45,3,Some Random Commen with Id 137
138,35,6,2,8,Some Random Commen with Id 138
139,35,6,171,9,Some Random Commen with Id 139
140,35,6,3,7,Some Random Commen with Id 140
141,35,6,144,6,Some Random Commen with Id 141
142,35,6,40,7,Some Random Commen with Id 142
143,37,7,153,3,Some Random Commen with Id 143
144,37,7,95,7,Some Random Commen with Id 144
145,37,7,189,8,Some Random Commen with Id 145
146,37,7,172,9,Some Random Commen with Id 146
147,37,7,133,6,Some Random Commen with Id 147
148,37,7,121,4,Some Random Commen with Id 148
149,37,7,0,0,Some Random Commen with Id 149
150,37,7,43,6,Some Random Commen with Id 150
151,37,7,59,3,Some Random Commen with Id 151
152,38,0,3,6,Some Random Commen with Id 152
153,38,0,23,4,Some Random Commen with Id 153
154,38,0,132,2,Some Random Commen with Id 154
155,38,0,176,9,Some Random Commen with Id 155
156,38,0,176,4,Some Random Commen with Id 156
157,38,0,0,3,Some Random Commen with Id 157
158,38,0,12,2,Some Random Commen with Id 158
159,38,0,150,6,Some Random Commen with Id 159
160,38,0,44,6,Some Random Commen with Id 160
161,39,8,47,0,Some Random Commen with Id 161
162,39,8,138,5,Some Random Commen with Id 162
163,39,8,133,7,Some Random Commen with Id 163
164,39,8,183,9,Some Random Commen with Id 164
165,39,8,196,2,Some Random Commen with Id 165
