Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
84,19,6,129,5,Some Random Commen with Id 84
85,19,6,173,5,Some Random Commen with Id 85
86,19,6,91,1,Some Random Commen with Id 86
87,19,6,22,4,Some Random Commen with Id 87
88,20,6,181,2,Some Random Commen with Id 88
89,20,6,127,4,Some Random Commen with Id 89
90,20,6,80,1,Some Random Commen with Id 90
91,20,6,140,0,Some Random Commen with Id 91
92,20,6,149,2,Some Random Commen with Id 92
93,21,1,167,3,Some Random Commen with Id 93
94,22,8,194,1,Some Random Commen with Id 94
95,22,8,17,4,Some Random Commen with Id 95
96,22,8,72,1,Some Random Commen with Id 96
97,22,8,8,0,Some Random Commen with Id 97
98,22,8,116,7,Some Random Commen with Id 98
99,22,8,72,0,Some Random Commen with Id 99
100,22,8,195,3,Some Random Commen with Id 100
101,22,8,189,2,Some Random Commen with Id 101
102,23,6,186,4,Some Random Commen with Id 102
103,23,6,131,7,Some Random Commen with Id 103
104,23,6,17,9,Some Random Commen with Id 104
105,23,6,97,8,Some Random Commen with Id 105
106,23,6,120,2,Some Random Commen with Id 106
107,23,6,147,9,Some Random Commen with Id 107
108,23,6,199,8,Some Random Commen with Id 108
109,23,6,86,6,Some Random Commen with Id 109
110,24,6,66,8,Some Random Commen with Id 110
111,24,6,100,3,Some Random Commen with Id 111
112,24,6,142,6,Some Random Commen with Id 112
113,24,6,178,4,Some Random Commen with Id 113
114,24,6,16,3,Some Random Commen with Id 114
115,24,6,197,9,Some Random Commen with Id 115
116,24,6,61,3,Some Random Commen with Id 116
117,25,0,158,0,Some Random Commen with Id 117
118,25,0,141,3,Some Random Commen with Id 118
119,25,0,43,1,Some Random Commen with Id 119
120,25,0,10,2,Some Random Commen with Id 120
121,25,0,58,7,Some Random Commen with Id 121
122,25,0,188,6,Some Random Commen with Id 122
123,25,0,64,6,Some Random Commen with Id 123
124,25,0,83,7,Some Random Commen with Id 124
125,26,0,32,4,Some Random Commen with Id 125
126,26,0,169,6,Some Random Commen with Id 126
127,26,0,173,4,Some Random Commen with Id 127
128,26,0,185,5,Some Random Commen with Id 128
129,26,0,111,4,Some Random Commen with Id 129
130,26,0,192,5,Some Random Commen with Id 130
131,26,0,117,7,Some Random Commen with Id 131
132,26,0,47,9,Some Random Commen with Id 132
133,27,9,47,1,Some Random Commen with Id 133
134,27,9,183,9,Some Random Commen with Id 134
135,28,4,180,2,Some Random Commen with Id 135
136,28,4,69,4,Some Random Commen with Id 136
137,29,8,13,7,Some Random Commen with Id 137
138,29,8,193,4,Some Random Commen with Id 138
139,29,8,95,1,Some Random Commen with Id 139
140,29,8,156,0,Some Random Commen with Id 140
141,29,8,42,8,Some Random Commen with Id 141
142,29,8,63,7,Some Random Commen with Id 142
143,29,8,127,7,Some Random Commen with Id 143
144,29,8,198,8,Some Random Commen with Id 144
145,31,9,73,2,Some Random Commen with Id 145
146,31,9,26,4,Some Random Commen with Id 146
147,31,9,173,6,Some Random Commen with Id 147
148,32,0,24,1,Some Random Commen with Id 148
149,32,0,94,3,Some Random Commen with Id 149
150,32,0,149,9,Some Random Commen with Id 150
151,32,0,106,7,Some Random Commen with Id 151
152,32,0,77,9,Some Random Commen with Id 152
153,32,0,21,7,Some Random Commen with Id 153
154,33,8,144,9,Some Random Commen with Id 154
155,33,8,48,5,Some Random Commen with Id 155
156,33,8,145,0,Some Random Commen with Id 156
157,35,4,60,8,Some Random Commen with Id 157
158,35,4,89,2,Some Random Commen with Id 158
159,36,1,167,3,Some Random Commen with Id 159
160,36,1,15,2,Some Random Commen with Id 160
161,37,1,132,2,Some Random Commen with Id 161
162,37,1,176,4,Some Random Commen with Id 162
163,37,1,95,3,Some Random Commen with Id 163
164,38,5,62,7,Some Random Commen with Id 164
165,38,5,110,7,Some Random Commen with Id 165
166,38,5,197,7,Some Random Commen with Id 166
167,38,5,113,6,Some Random Commen with Id 167
168,38,5,177,8,Some Random Commen with Id 168
169,39,4,173,8,Some Random Commen with Id 169
170,39,4,183,1,Some Random Commen with Id 170
171,39,4,82,5,Some Random Commen with Id 171
172,39,4,74,6,Some Random Commen with Id 172
173,39,4,12,9,Some Random Commen with Id 173
174,39,4,8,7,Some Random Commen with Id 174
175,39,4,95,5,Some Random Commen with Id 175
